train_size: 647
test_size: 72
begin training...
total train batches21
total test_batches3
Epoch 1/100, running_loss: 0.713462, test_loss: 0.411658, MSE: 0.382416, IC: -0.002743, RIC: 0.000223, Precision@10: 0.118750
Epoch 81/100, running_loss: 0.012302, test_loss: 0.238862, MSE: 0.211941, IC: -0.017457, RIC: -0.038001, Precision@10: 0.155208
Epoch 82/100, running_loss: 0.012468, test_loss: 0.239188, MSE: 0.212875, IC: -0.011054, RIC: -0.035272, Precision@10: 0.162500
Epoch 83/100, running_loss: 0.011735, test_loss: 0.220872, MSE: 0.195721, IC: -0.038887, RIC: -0.056207, Precision@10: 0.135417
Epoch 84/100, running_loss: 0.012066, test_loss: 0.238597, MSE: 0.211840, IC: -0.012919, RIC: -0.040255, Precision@10: 0.157292
Epoch 85/100, running_loss: 0.011836, test_loss: 0.222229, MSE: 0.199028, IC: 0.007436, RIC: -0.018961, Precision@10: 0.176042
Epoch 86/100, running_loss: 0.011719, test_loss: 0.255539, MSE: 0.229703, IC: 0.009897, RIC: -0.022979, Precision@10: 0.160417
Epoch 87/100, running_loss: 0.013164, test_loss: 0.234114, MSE: 0.208739, IC: 0.004469, RIC: -0.030241, Precision@10: 0.169792
Epoch 88/100, running_loss: 0.011504, test_loss: 0.239262, MSE: 0.214223, IC: -0.002531, RIC: -0.036136, Precision@10: 0.165625
Epoch 89/100, running_loss: 0.011959, test_loss: 0.226264, MSE: 0.201349, IC: 0.004822, RIC: -0.034546, Precision@10: 0.188542
Epoch 90/100, running_loss: 0.011840, test_loss: 0.225379, MSE: 0.200508, IC: -0.009011, RIC: -0.041293, Precision@10: 0.138542
Epoch 91/100, running_loss: 0.011187, test_loss: 0.241681, MSE: 0.213614, IC: -0.006926, RIC: -0.031663, Precision@10: 0.160417
Epoch 92/100, running_loss: 0.011395, test_loss: 0.262966, MSE: 0.236340, IC: -0.015262, RIC: -0.046942, Precision@10: 0.152083
Epoch 93/100, running_loss: 0.011169, test_loss: 0.305945, MSE: 0.276046, IC: 0.007228, RIC: -0.032884, Precision@10: 0.179167
Epoch 94/100, running_loss: 0.011777, test_loss: 0.245074, MSE: 0.219246, IC: -0.010012, RIC: -0.031488, Precision@10: 0.156250
Epoch 95/100, running_loss: 0.011195, test_loss: 0.244173, MSE: 0.218483, IC: 0.015897, RIC: -0.005184, Precision@10: 0.182292
Epoch 96/100, running_loss: 0.010726, test_loss: 0.240232, MSE: 0.214334, IC: -0.008120, RIC: -0.044762, Precision@10: 0.150000
Epoch 97/100, running_loss: 0.010930, test_loss: 0.210224, MSE: 0.186696, IC: -0.026404, RIC: -0.052786, Precision@10: 0.154167
Epoch 98/100, running_loss: 0.012123, test_loss: 0.272564, MSE: 0.244013, IC: -0.004130, RIC: -0.041394, Precision@10: 0.169792
Epoch 99/100, running_loss: 0.011509, test_loss: 0.263262, MSE: 0.234115, IC: -0.027373, RIC: -0.054521, Precision@10: 0.160417
Epoch 100/100, running_loss: 0.011138, test_loss: 0.254029, MSE: 0.228816, IC: 0.046946, RIC: 0.018825, Precision@10: 0.201042
